BookingID,BookingDate,CheckInDate,HotelName,Region,City,RoomType,CustomerType,BookingSource,MealPlan,Guests,NightsStayed,BookingLeadDays,RoomRate,DiscountPercent,ExtraServices,TotalBookingValue,PaymentMethod,BookingStatus,CustomerRating,Performance_Score
HB1001,29-03-2025,24-07-2025,City Central Hotel,SOUTH,Chennai,Executive,Family,Website,Room Only,3,3,117,4072,25,1500,10662,Credit Card,Checked-in,4,0.447944
HB1002,28-09-2025,29-11-2025,Pearl Garden Hotel,SOUTH,Bengaluru,Deluxe,Leisure,Travel Agent,Room Only,3,1,62,4778,5,2500,7039,Debit Card,Checked-out,3.7,0.380468
HB1003,02-04-2025,22-07-2025,Blue Bay Resort,EAST,Bhubaneswar,Family,Family,Mobile App,Room Only,3,4,111,7833,0,500,31832,Credit Card,Confirmed,3.8,0.685984
HB1004,17-12-2025,03-02-2026,Sunrise Palace,SOUTH,Kochi,Standard,Couple,Mobile App,Breakfast,3,2,48,2685,25,1500,8228,Cash,Checked-out,4.8,0.482736
HB1005,11-12-2025,20-02-2026,Green Valley Inn,EAST,Patna,Family,Family,Website,Room Only,2,2,71,5674,0,0,11348,Credit Card,Checked-out,4.3,0.480176
HB1006,03-03-2025,30-05-2025,Crown Plaza Residency,CENTRAL,Indore,Family,Couple,Mobile App,Room Only,3,3,88,6507,5,4000,22545,Debit Card,Checked-out,4.7,0.64654
HB1007,28-06-2025,30-08-2025,City Central Hotel,WEST,Ahmedabad,Standard,Business,Booking Portal,Room Only,2,5,63,2758,10,0,12411,Debit Card,Checked-out,3.2,0.404932
HB1008,11-10-2025,08-11-2025,Golden Sands Hotel,CENTRAL,Nagpur,Executive,Couple,Travel Agent,Room Only,2,2,28,7906,0,500,16312,Credit Card,Cancelled,4.1,0.523744
HB1009,14-11-2025,21-12-2025,Mountain View Resort,SOUTH,Hyderabad,Standard,Leisure,Mobile App,Room Only,2,4,37,2400,0,1000,10600,UPI,Checked-out,4,0.4472
HB1010,08-08-2025,01-10-2025,Royal Orchid Suites,SOUTH,Hyderabad,Executive,Business,Walk-in,Room Only,2,1,54,7378,5,500,7509,Cash,Checked-out,4.2,0.426108
HB1011,28-08-2025,13-09-2025,Golden Sands Hotel,EAST,Guwahati,Deluxe,Business,Booking Portal,Breakfast,2,5,16,3304,0,1000,22020,Cash,Checked-out,4,0.58424
HB1012,31-05-2025,01-07-2025,Urban Nest Hotel,SOUTH,Kochi,Standard,Family,Mobile App,Full Board,2,5,31,2922,15,1000,26418,Credit Card,Checked-out,3.8,0.621016
HB1013,31-10-2025,19-01-2026,Mountain View Resort,SOUTH,Kochi,Family,Solo,Booking Portal,Breakfast,4,5,80,7620,10,0,43290,Debit Card,Confirmed,4.1,0.84748
HB1014,27-07-2025,26-09-2025,Crown Plaza Residency,NORTH,Jaipur,Executive,Business,Website,Breakfast,3,2,61,4830,0,1500,13860,UPI,Checked-out,4.7,0.54232
HB1015,18-08-2025,05-12-2025,Grand Horizon Hotel,WEST,Mumbai,Deluxe,Leisure,Booking Portal,Room Only,4,3,109,4450,10,1000,13015,UPI,Cancelled,3.7,0.45218
HB1016,21-08-2025,27-09-2025,Grand Horizon Hotel,EAST,Patna,Standard,Solo,Mobile App,Room Only,2,6,37,3443,25,2500,17994,Net Banking,Checked-in,3.1,0.463928
HB1017,26-12-2025,10-02-2026,Grand Horizon Hotel,SOUTH,Hyderabad,Deluxe,Business,Travel Agent,Full Board,3,1,46,5473,0,500,9873,UPI,Cancelled,4.2,0.454476
HB1018,09-11-2025,15-12-2025,Urban Nest Hotel,WEST,Goa,Standard,Couple,Booking Portal,Half Board,3,4,36,3619,20,0,22381,Net Banking,Checked-in,4.6,0.636572
HB1019,08-12-2025,26-01-2026,City Central Hotel,NORTH,Chandigarh,Standard,Leisure,Travel Agent,Room Only,4,1,49,2412,0,500,2912,UPI,Checked-out,4.3,0.378944
HB1020,16-04-2025,16-05-2025,Blue Bay Resort,NORTH,Delhi,Deluxe,Family,Website,Room Only,2,1,30,4760,0,0,4760,Cash,Confirmed,3.3,0.32112
HB1021,30-03-2025,12-07-2025,Lakeview Grand,SOUTH,Kochi,Standard,Solo,Mobile App,Room Only,3,6,104,2678,10,500,14961,Credit Card,Checked-out,4,0.499532
HB1022,23-07-2025,08-08-2025,Crown Plaza Residency,NORTH,Jaipur,Deluxe,Business,Website,Breakfast,3,1,16,4078,0,500,5928,Cash,Checked-in,3.7,0.367136
HB1023,21-11-2025,10-03-2026,Blue Bay Resort,WEST,Mumbai,Standard,Leisure,Travel Agent,Breakfast,1,1,109,2892,0,1000,4342,Net Banking,Cancelled,2.7,0.268104
HB1024,13-02-2025,14-03-2025,Pearl Garden Hotel,WEST,Mumbai,Deluxe,Solo,Mobile App,Full Board,2,1,29,2849,0,1000,6449,Net Banking,Confirmed,4.7,0.453388
HB1025,16-03-2025,14-04-2025,Green Valley Inn,SOUTH,Bengaluru,Standard,Couple,Mobile App,Room Only,2,1,29,3995,5,1000,4795,UPI,Checked-out,3.7,0.35354
HB1026,21-12-2025,05-04-2026,Silver Oak Resort,SOUTH,Kochi,Suite,Family,Website,Breakfast,3,2,105,10412,0,0,23524,UPI,Confirmed,4.5,0.642288
HB1027,24-05-2025,18-09-2025,Metro Heights,CENTRAL,Nagpur,Deluxe,Solo,Booking Portal,Breakfast,3,1,117,4295,0,2500,8145,Debit Card,Checked-out,5,0.49774
HB1028,10-10-2025,15-12-2025,Green Valley Inn,CENTRAL,Bhopal,Suite,Couple,Booking Portal,Breakfast,1,1,66,13416,5,1500,14695,Credit Card,Cancelled,4.2,0.51234
HB1029,12-12-2025,31-12-2025,Blue Bay Resort,CENTRAL,Raipur,Deluxe,Business,Booking Portal,Breakfast,3,1,19,3238,0,0,4588,Debit Card,Confirmed,4.7,0.431056
